6150	betaine-aldehyde dehydrogenase (BetB)
5066	betaine-aldehyde dehydrogenase (BetB)
6788	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
6729	2-hydroxymuconic semialdehyde dehydrogenase
4702	aldehyde dehydrogenase, Rv0768 family
4842	1-pyrroline dehydrogenase
3184	succinate-semialdehyde dehydrogenase
1901	putative phosphonoacetaldehyde dehydrogenase
1453	methylmalonate-semialdehyde dehydrogenase (acylating)
618	succinylglutamate-semialdehyde dehydrogenase
495	phenylacetic acid degradation protein paaN
