SeqID	Organism	Domain	Phylum	Class	Order	Family	Genus	Species
Q0K9H3	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q0K2G9	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q0K4D5	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q6UFW4	Pseudomonas alcaligenes	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas alcaligenes
Q939Q9	Paucimonas lemoignei (Pseudomonas lemoignei)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	Paucimonas lemoignei (Pseudomonas lemoignei)
B2NHN2	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales (green and blue molds)	Trichocomaceae	Talaromyces	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)
O82950	Pseudomonas stutzeri (Pseudomonas perfectomarina)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri (Pseudomonas perfectomarina)
Q0K7T2	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q0JZG9	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
Q0JYJ1	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)
