#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
NosZ	species	r__Root; d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Hydrogenothermaceae; g__Persephonella; s__Persephonella sp. IF05-L8	NosZ	86	1.0	-87689.9932654393	0.1149704552	0.0676139205	0.0	0.1826
NosZ	species	r__Root; d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Hydrogenothermaceae; g__Persephonella; s__Persephonella marina	NosZ	86	1.0	-87690.0310152365	0.0683234934	0.1127678339	0.0	0.1811
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella veroralis	NosZ	157	0.8059658415	-86394.4567336586	0.0350774821	0.0534971973	0.0	0.0886
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	NosZ	627	0.6422907021	-86371.0948291458	0.0128057563	0.123652828	0.0376	0.1741
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	NosZ	158	0.9912454217	-86364.3533961672	0.0129609522	0.0351765922	0.0376	0.0857
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella denticola	NosZ	157	0.9911928869	-86394.0833032425	0.0424252899	0.0445663289	0.0	0.087
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aequorivita; s__Aequorivita sublithincola	NosZ	30	1.0	-86060.1030439994	0.0348361739	0.0396719113	0.0	0.0745
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aequorivita; s__Aequorivita capsosiphonis	NosZ	30	1.0	-86060.1073354013	0.0396650851	0.0348395107	0.0	0.0745
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquimarina; s__Aquimarina muelleri	NosZ	22	1.0	-86060.1151094331	0.0489574747	0.0611067015	0.0	0.1101
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquimarina; s__Aquimarina megaterium	NosZ	22	1.0	-86060.106189259	0.0610274193	0.0490310084	0.0	0.1101
NosZ	species	r__Root; d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	NosZ	41	1.0	-86060.1018669972	0.0158605946	0.0526129873	0.063	0.1315
