Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
Q04507	Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298)	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea
E2D8J4	uncultured archaeon	Archaea						uncultured archaeon
I3TC36	uncultured archaeon	Archaea						uncultured archaeon
A0A4Y5F606	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A509GLM7	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A509GLM6	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5FTX1	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5JK44	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A4Y5F688	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5JN59	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A4Y5F4N8	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5JK21	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A509GLQ1	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A509GLQ6	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5JZF7	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A4Y5F663	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A509GLR3	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5JRD6	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
A0A7D5JRE5	uncultured Nitrospira sp.	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
