Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
Q607G3	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus
G4SZ63	Methylotuvimicrobium alcaliphilum (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z) (Methylomicrobium alcaliphilum)	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium	Methylotuvimicrobium alcaliphilum (Methylobacter alcaliphilus)
A0A0C1V6H4	Methylacidiphilum kamchatkense Kam1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum kamchatkense
A0A0C1UUH7	Methylacidiphilum kamchatkense Kam1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum kamchatkense
A0A516TNB9	Methylacidiphilum kamchatkense Kam1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum kamchatkense
D5MJE2	Candidatus Methylomirabilis oxyfera	Bacteria	candidate division NC10				Candidatus Methylomirabilis	Candidatus Methylomirabilis oxyfera
Q70EF3	Methylocystis sp. (strain SC2)	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. (strain SC2)
A0A6P1IDD3	Rhodococcus sp. WAY2	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. WAY2
D4PB74	Methylocystis sp. (strain SB2)	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. (strain SB2)
I1WZ50	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
E1CBX0	Methylovulum miyakonense	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum miyakonense
V5DXJ0	Methyloglobulus morosus KoM1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus
V5BW20	Methyloglobulus morosus KoM1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus
V5DIZ5	Methyloglobulus morosus KoM1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus
A8SI22	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJP5	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SI20	uncultured Gammaproteobacteria bacterium	Bacteria	Proteobacteria	Gammaproteobacteria				uncultured Gammaproteobacteria bacterium
A8SIB7	uncultured Gammaproteobacteria bacterium	Bacteria	Proteobacteria	Gammaproteobacteria				uncultured Gammaproteobacteria bacterium
A8SJM6	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJ90	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SI53	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJK2	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJF9	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJC0	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
