TaxID	Lineage
251229	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chroococcidiopsidales; f__Chroococcidiopsidaceae; g__Chroococcidiopsis; s__Chroococcidiopsis thermalis
1183438	d__Bacteria; p__Cyanobacteria; c__Gloeobacteria; o__Gloeobacterales; f__Gloeobacteraceae; g__Gloeobacter; s__Gloeobacter kilaueensis
251221	d__Bacteria; p__Cyanobacteria; c__Gloeobacteria; o__Gloeobacterales; f__Gloeobacteraceae; g__Gloeobacter; s__Gloeobacter violaceus
533240	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Aphanizomenonaceae; g__Cylindrospermopsis; s__Cylindrospermopsis raciborskii
313624	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Aphanizomenonaceae; g__Nodularia; s__Nodularia spumigena
533247	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Aphanizomenonaceae; g__Raphidiopsis; s__Raphidiopsis brookii
1170562	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Calotrichaceae; g__Calothrix; s__Calothrix parietina
1337936	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Calotrichaceae; g__Calothrix
32057	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Calotrichaceae; g__Calothrix
211165	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Chlorogloeopsidaceae; g__Chlorogloeopsis; s__Chlorogloeopsis fritschii
643473	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Fortieaceae; g__Fortiea; s__Fortiea contorta
98439	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Hapalosiphonaceae; g__Fischerella; s__Fischerella thermalis
1173023	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Hapalosiphonaceae; g__Fischerella
1173024	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Hapalosiphonaceae; g__Fischerella
1174528	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Hapalosiphonaceae; g__Fischerella
272123	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Nostocaceae; g__Anabaena; s__Anabaena cylindrica
163908	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Nostocales; f__Nostocaceae; g__Anabaena
