LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NirK,uncultured crenarchaeote 57a5 | ACY24533
2_NirK,uncultured crenarchaeote 76h13 | ACY24563
3_NirK,uncultured crenarchaeote | CAF28758
4_NirK,Halobacteriales | tr|A0A2R6DUQ1|A0A2R6DUQ1_9EURY
5_NirK,Halobacteriales | tr|A0A2R6GC05|A0A2R6GC05_9EURY
6_NirK,Halobacteriales | tr|A0A2R6JJ52|A0A2R6JJ52_9EURY
7_NirK,Halobacteriales | tr|A0A365T500|A0A365T500_9EURY
8_NirK,Halobacteriales | tr|A0A6B9Y4M3|A0A6B9Y4M3_9EURY
9_NirK,Halapricum salinum | tr|A0A4D6HEA8|A0A4D6HEA8_9EURY
10_NirK,Halapricum sp. CBA1109 | tr|A0A6A9T6F0|A0A6A9T6F0_9EURY
11_NirK,Haloarcula hispanica N601 | AHB64591
12_NirK,Haloarcula marismortui ATCC 43049 | QCP89494
13_NirK,Haloarcula sp. JP-L23 | tr|A0A6G8T4B2|A0A6G8T4B2_9EURY
14_NirK,Haloarcula sp. K1 | KZX49421
15_NirK,Halomicrobium mukohataei DSM 12286 | ACV48080
16_NirK,Halomicrobium mukohataei | QCD65625
17_NirK,Halomicrobium mukohataei | tr|A0A847UD64|A0A847UD64_9EURY
18_NirK,Halorhabdus sp. CBA1104 | tr|A0A650A784|A0A650A784_9EURY
19_NirK,Halorhabdus utahensis DSM 12940 | ACV10224
20_NirK,Halosimplex litoreum | tr|A0A7U3WB41|A0A7U3WB41_9EURY
21_NirK,Natronomonas pharaonis DSM 2160 | CAI48890
22_NirK,Natronomonas sp. CBA1123 | tr|A0A6A9SJS4|A0A6A9SJS4_9EURY
23_NirK,Halobacterium salinarum R1 | CAP13839
24_NirK,Halobacterium sp. CBA1126 | tr|A0A6A9SJ54|A0A6A9SJ54_9EURY
25_NirK,Halobacterium sp. DL1 | EHB61616
26_NirK,Halobacterium sp. PCN9 | tr|A0A6B0SHJ6|A0A6B0SHJ6_9EURY
27_NirK,Halobacterium sp. PCN9 | tr|A0A6B0SKD6|A0A6B0SKD6_9EURY
28_NirK,Halorussus sp. MSC15.2 | tr|A0A6G3ZGV1|A0A6G3ZGV1_9EURY
29_NirK,Halobellus limi | tr|A0A1H6BCG2|A0A1H6BCG2_9EURY
30_NirK,Halobellus ruber | tr|A0A7J9SI93|A0A7J9SI93_9EURY
31_NirK,Haloferax gibbonsii | tr|A0A871BL36|A0A871BL36_HALGI
32_NirK,Haloferax lucentense | CAE46530
33_NirK,Haloferax mediterranei ATCC 33500 | CBG76812
34_NirK,Haloferax sp. CBA1148 | tr|A0A6G0EBW8|A0A6G0EBW8_9EURY
35_NirK,Haloferax sp. CBA1149 | tr|A0A643JXZ8|A0A643JXZ8_9EURY
36_NirK,Haloferax volcanii DS2 | ADE03920
37_NirK,Halogeometricum borinquense DSM 11551 | ADQ66774
38_NirK,Halogeometricum borinquense DSM 11551 | ADQ68227
39_NirK,Halogeometricum borinquense DSM 11551 | ADQ68950
40_NirK,Halogeometricum borinquense DSM 11551 | ADQ68963
41_NirK,Halogeometricum sp. CBA1124 | tr|A0A6G2FYF6|A0A6G2FYF6_9EURY
42_NirK,Halopelagius longus | tr|A0A1H1FJ70|A0A1H1FJ70_9EURY
43_NirK,Haloplanus aerogenes | tr|A0A3G8QWW5|A0A3G8QWW5_9EURY
44_NirK,Haloplanus aerogenes | tr|A0A3G8QZK6|A0A3G8QZK6_9EURY
45_NirK,Haloplanus rallus | tr|A0A6B9FBS4|A0A6B9FBS4_9EURY
46_NirK,Haloplanus rubicundus | tr|A0A345E5L4|A0A345E5L4_9EURY
47_NirK,Halobaculum sp. WSA2 | tr|A0A6B0SQ15|A0A6B0SQ15_9EURY
48_NirK,Halobaculum sp. WSA2 | tr|A0A6B0T155|A0A6B0T155_9EURY
49_NirK,Halorubrum lacusprofundi ATCC 49239 | ACM57482
50_NirK,Halorubrum sp. WN019 | tr|A0A2A2F6Q2|A0A2A2F6Q2_9EURY
51_NirK,Halorubrum sp. WN019 | tr|A0A2A2FE47|A0A2A2FE47_9EURY
52_NirK,Salinigranum rubrum | tr|A0A2I8VER0|A0A2I8VER0_9EURY
53_NirK,Salinigranum rubrum | tr|A0A2I8VK53|A0A2I8VK53_9EURY
54_NirK,Halopiger xanaduensis SH-6 | AEH35751
55_NirK,Halopiger xanaduensis SH-6 | AEH36112
56_NirK,Halopiger xanaduensis SH-6 | AEH37135
57_NirK,Halopiger xanaduensis SH-6 | AEH37894
58_NirK,Haloterrigena sp. KZCA68 | tr|A0A8A2VSW6|A0A8A2VSW6_9EURY
59_NirK,Haloterrigena turkmenica DSM 5511 | ADB61952
60_NirK,Haloterrigena turkmenica DSM 5511 | ADB62455
