#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum calidifontis	410359.Pcal	186	0.9540506775	-22854.0176195482	0.024835	0.051829	0.053158	0.12982
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum ferrireducens	1104324.P186	181	1.0	-22854.0207631406	0.038401	0.012397	0.0	0.0508
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum neutrophilum	444157.Tneu	171	1.0	-22749.1424393867	5e-05	0.0001	0.0	0.00015
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum oguniense	698757.Pogu	183	1.0	-22806.0054342622	0.027482	0.046785	0.04714	0.12141
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus; Thermoproteus tenax	768679.TTX	184	1.0	-22823.5642961102	0.461878	0.17249	0.0	0.63437
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus; Thermoproteus tenax	WP_014126343	177	1.0	-22730.1338611385	0.052136	0.0001	0.025914	0.07815
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus; Thermoproteus uzoniensis	999630.TUZN	188	1.0	-22856.2417300879	0.231173	0.441261	0.0	0.67243
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta; Vulcanisaeta distributa	572478.Vdis	186	1.0	-22853.9802106255	0.02931	0.074423	0.0	0.10373
DsrC	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta; Vulcanisaeta moutnovskia	985053.VMUT	186	1.0	-22854.0398142989	0.076705	0.02578	0.0	0.10248
DsrC	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus fulgidus	224325.AF2228	287	1.0	-22872.4592395545	0.141154	0.05459	0.0	0.19574
