d__Archaea	AmoA_AOA
p__Verrucomicrobia	PmoA
p__Actinobacteria	BmoA
o__Chromatiales	AmoA_AOB
f__Methylococcaceae	PmoA
f__Nitrosomonadaceae	AmoA_AOB
g__Haliea	EmoA
g__Methylocystis	PmoA
g__Methylosinus	PmoA
g__Methylohalobius	PmoA
g__Methylocapsa	PmoA
g__Methylothermus	PmoA
g__Methylomarinovum	PmoA
g__Hydrogenophaga	Unknown
s__Crenothrix polyspora	PmoA
Candidatus Methylomirabilis oxyfera	PmoA
1116472.MGMO_167c00070	PxmA 
743836.AYNA01000128_gene1400	PxmA
1116472.MGMO_123c00040	PxmA
697282.Mettu_1055	PxmA
686340.Metal_1434	PxmA
ACE95886	PxmA
ACE95893	PxmA
ACE95890	PxmA
AEF15859	PxmA
tr|A0A1R4H2I8|A0A1R4H2I8_9GAMM	PxmA
