LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NorB,Haloarcula hispanica | tr|G0HRI4|G0HRI4_HALHT
2_NorB,Halomicrobium sp. LC1Hm | tr|A0A5Q0UKW4|A0A5Q0UKW4_9EURY
3_NorB,Haloferax mediterranei (Halobacterium mediterranei) | tr|I3R6L7|I3R6L7_HALMT
4_NorB,Halococcus | EMA53543
5_NorB,Haloferax | ELZ80576
6_NorB,Candidatus Methanoperedens | KPQ44260
7_NorB,Acidobacterium ailaaui | 1382359.JIAL01000001_gene232
8_NorB,Candidatus Koribacter versatilis Ellin345 | 204669.Acid345_0364
9_NorB,Candidatus Solibacter usitatus Ellin6076 | 234267.Acid_2936
10_NorB,Geothrix fermentans DSM 14018 | 1121920.AUAU01000002_gene2086
11_NorB,Geothrix fermentans DSM 14018 | 1121920.AUAU01000004_gene868
12_NorB,Thermotomaculum hydrothermale | tr|A0A7R6SYD0|A0A7R6SYD0_9BACT
13_NorB,Actinomyces naeslundii str. Howell 279 | 1115803.HMPREF1129_0047
14_NorB,Actinomyces sp. oral taxon 448 str. F0400 | 888056.HMPREF9062_1327
15_NorB,Actinomyces timonensis DSM 23838 | 521393.JH806632_gene105
16_NorB,Corynebacterium accolens ATCC 49725 | 525260.HMPREF0276_1372
17_NorB,Corynebacterium diphtheriae PW8 | 698964.CDPW8_2214
18_NorB,Corynebacterium doosanense CAU 212 = DSM 45436 | 558173.CDOO_03340
19_NorB,Corynebacterium propinquum DSM 44285 | 1121367.AQXC01000012_gene1067
20_NorB,Corynebacterium pseudotuberculosis | 1719.CPTC_00540
21_NorB,Mycobacterium avium subsp. avium | 44454.NF84_18325
22_NorB,Mycobacterium intracellulare ATCC 13950 | 487521.OCU_19850
23_NorB,Mycobacterium sp. 141 | 1120797.KB908258_gene1363
24_NorB,Mycobacterium sp. JLS | 164757.Mjls_1539
25_NorB,Mycobacterium sp. UM_WGJ | 1370120.AUWR01000071_gene802
26_NorB,Mycobacterium talmoniae | tr|A0A1S1NNX3|A0A1S1NNX3_9MYCO
27_NorB,Mycolicibacterium rhodesiae NBB3 | 710685.MycrhN_0866
28_NorB,Nocardia niigatensis NBRC 100131 | 1206733.BAGC01000035_gene3673
29_NorB,Rhodococcus hoagii 103S | 685727.REQ_03280
30_NorB,Brachybacterium faecium DSM 4810 | 446465.Bfae_28590
31_NorB,Austwickia chelonae NBRC 105200 | 1184607.AUCHE_05_03640
32_NorB,Kineosphaera limosa NBRC 100340 | 1184609.KILIM_051_00380
33_NorB,Mobilicoccus pelagius NBRC 104925 | 1089455.MOPEL_041_00110
34_NorB,Arsenicicoccus bolidensis DSM 15745 | 1121017.AUFG01000015_gene2612
35_NorB,Intrasporangium calvum DSM 43043 | 710696.Intca_0298
36_NorB,Rothia dentocariosa ATCC 17931 | 762948.HMPREF0733_11863
37_NorB,Rothia mucilaginosa DY-18 | 680646.RMDY18_11300
38_NorB,Ornithinimicrobium pekingense DSM 21552 | 1122622.ATWJ01000010_gene1287
39_NorB,Acidipropionibacterium acidipropionici ATCC 4875 | 1171373.PACID_31710
40_NorB,Acidipropionibacterium jensenii DSM 20535 | 1122997.AUDD01000018_gene2320
41_NorB,[Propionibacterium] humerusii HL037PA2 | 765123.HMPREF9621_01713
42_NorB,Granulicoccus phenolivorans DSM 17626 = NBRC 107789 = JCM 15570 | 1121933.AUHH01000040_gene3146
43_NorB,Microlunatus phosphovorus NM-1 | 1032480.MLP_45230
44_NorB,Propionibacterium acidifaciens DSM 21887 | 1122994.AUFR01000001_gene1412
45_NorB,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 | 754252.PFREUD_00980
46_NorB,Pseudonocardia acaciae DSM 45401 | 1123023.JIAI01000032_gene4145
47_NorB,Streptomyces fradiae | 1906.SFRA_31350
48_NorB,Spirillospora albida | 58123.JOFJ01000034_gene39
49_NorB,Hydrogenobacter thermophilus TK-6 | 608538.HTH_0283
50_NorB,Hydrogenobaculum sp. Y04AAS1 | 380749.HY04AAS1_0351
51_NorB,Persephonella marina EX-H1 | 123214.PERMA_0314
52_NorB,Persephonella sp. IF05-L8 | 1158338.JNLJ01000001_gene1071
53_NorB,Sulfurihydrogenibium azorense Az-Fu1 | 204536.SULAZ_1453
54_NorB,Parcubacteria group bacterium GW2011_GWA1_47_8 | KKU80976
55_NorB,Parcubacteria group bacterium GW2011_GWC1_42_11 | KKS27263
56_NorB,Bacteroidetes | KXK21991
57_NorB,Bacteroides neonati | 1347393.HG726026_gene2639
58_NorB,Proteiniphilum acetatigenes DSM 18083 | 1123008.KB905692_gene245
59_NorB,Porphyromonas sp. KLE 1280 | 997829.HMPREF1121_00752
60_NorB,Prevotella sp. oral taxon 317 str. F0108 | 575615.HMPREF0670_01137
61_NorB,Saccharicrinis fermentans DSM 9555 = JCM 21142 | 869213.JCM21142_104169
62_NorB,Thermophagus xiamenensis | 385682.AFSL01000014_gene2772
63_NorB,Asinibacterium sp. OR53 | 925409.KI911562_gene2464
64_NorB,Chitinophaga pinensis DSM 2588 | 485918.Cpin_5786
65_NorB,Niabella soli DSM 19437 | 929713.NIASO_09340
66_NorB,Cesiribacter andamanensis AMV16 | 1279009.ADICEAN_01486
67_NorB,Algoriphagus mannitolivorans DSM 15301 | 1120965.AUBV01000006_gene2375
68_NorB,Belliella baltica DSM 15883 | 866536.Belba_2010
69_NorB,Indibacter alkaliphilus LW1 | 1189612.A33Q_2133
70_NorB,Mariniradius saccharolyticus AK6 | 1239962.C943_03890
71_NorB,Rudanella lutea DSM 19387 | 1089547.KB913013_gene4648
72_NorB,Fulvivirga imtechensis AK7 | 1237149.C900_01467
73_NorB,Aquimarina macrocephali JAMB N27 | 1443665.JACA01000047_gene5274
74_NorB,Aquimarina megaterium XH134 | 1296416.JACB01000003_gene677
75_NorB,Aquimarina megaterium XH134 | 1296416.JACB01000039_gene1326
76_NorB,Aquimarina muelleri DSM 19832 | 1121007.AUML01000032_gene2774
77_NorB,Arenibacter algicola | 616991.JPOO01000003_gene1682
