#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum; Methylorubrum extorquens	419610.Mext	35	1.0	-10401.7232471318	0.013427	0.028223	0.0	0.04165
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum; Methylorubrum populi	441620.Mpop	35	1.0	-10397.5958937145	0.032782	0.00415	0.0	0.03693
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	WP_013066403	9	1.0	-10407.4878806304	0.226257	0.27491	0.019564	0.52073
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter sphaeroides	272943.RSP	7	1.0	-10353.0891628029	0.258899	0.240918	0.0	0.49982
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter sphaeroides	349102.Rsph17025	7	1.0	-10360.3228521916	0.255492	0.256404	0.0	0.5119
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum; Rhodospirillum centenum	414684.RC1	58	1.0	-10399.1277925703	0.500801	0.324001	0.0	0.8248
PuhA	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum; Rhodospirillum rubrum	YP_425708	20	1.0	-10399.5349088259	0.357157	0.370896	0.898689	1.62674
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	419610.Mext	3	0.9998852208	-3607.4496226785	0.301516	0.62206	0.041651	0.96523
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	314232.SKA53	3	1.0	-3634.8331559363	0.259285	0.775663	0.041651	1.0766
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	426355.Mrad2831	4	0.9890017819	-3600.9209641145	0.076	0.667313	0.443593	1.18691
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	316057.RPD	9	0.9595835576	-3530.4550809247	0.058534	0.413673	0.413356	0.88556
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	371731.Rsw2DRAFT	12	0.9526150668	-3635.3385818781	0.040892	0.796428	0.449273	1.28659
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	314264.ROS217	12	0.8058256395	-3592.8317564986	0.037502	0.597465	0.449273	1.08424
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	316058.RPB	12	1.0	-3543.0820553231	0.10811	0.449403	0.449273	1.00679
PuhA	Class	Bacteria; Proteobacteria; Alphaproteobacteria	391593.RCCS2	12	1.0	-3606.8173913457	0.063946	0.671273	0.449273	1.18449
