#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus; Desulfurococcus amylolyticus	490899.DKAM_0644	68	1.0	-6997.1084396058	0.081703	0.14204	0.0	0.22374
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus; Desulfurococcus mucosus	765177.Desmu_0492	68	1.0	-6997.7702044408	0.154571	0.059091	0.0	0.21366
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera; Metallosphaera cuprina	1006006.Mcup_0347	26	1.0	-6997.6117677375	0.032962	0.065576	0.0	0.09854
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera; Metallosphaera sedula	399549.Msed_1937	26	1.0	-6997.7995810397	0.066951	0.032125	0.0	0.09908
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum aerophilum	178306.PAE0866	55	1.0	-6997.7049944115	0.042009	0.015376	0.07548	0.13287
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum calidifontis	410359.Pcal_0055	49	0.7928934781	-6994.5550748431	0.183669	0.055651	0.12202	0.36134
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum islandicum	384616.Pisl_1129	53	1.0	-6997.0440699741	0.045994	0.0001	0.0	0.04609
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum neutrophilum	444157.Tneu_0081	53	1.0	-6997.3391436003	5e-05	0.046018	0.0	0.04607
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum; Pyrobaculum oguniense	698757.Pogu_2399	56	0.6397836966	-6997.1973955822	0.01548	0.095161	0.108543	0.21918
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus; Thermoproteus tenax	768679.TTX_1862	56	1.0	-6996.9602212483	0.053339	0.111317	0.0	0.16466
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus; Thermoproteus uzoniensis	999630.TUZN_1627	56	1.0	-6997.8801291485	0.128431	0.032397	0.0	0.16083
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta; Vulcanisaeta distributa	572478.Vdis_1810	61	1.0	-6997.7511497626	0.066071	0.012053	0.0	0.07812
DUF2112	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta; Vulcanisaeta moutnovskia	985053.VMUT_0251	61	1.0	-6997.1434958306	0.025651	0.052327	0.0	0.07798
DUF2112	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus fulgidus	224325.AF1549	80	1.0	-6997.8340225278	0.110455	0.193755	0.129355	0.43356
DUF2112	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus profundus	572546.Arcpr_0573	78	1.0	-6997.6564321936	0.100985	0.181879	0.0	0.28286
