#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
ribE	Species	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus; Thermococcus celer	WP_088862300	750	1.0	-51297.8181257452	0.157367	0.105361	0.238117	0.50084
ribE	Species	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus; Thermococcus gorgonarius	WP_088884861	747	1.0	-51304.5244263291	0.105857	0.027051	0.0	0.13291
ribE	Species	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus; Thermococcus profundus	WP_088858160	747	1.0	-51305.4711125256	0.040234	0.081365	0.0	0.1216
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium aquilae	WP_075726294	364	1.0	-51298.3509683103	0.001734	0.174659	0.340007	0.5164
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium cystitidis	WP_092255217	369	1.0	-51293.9298839056	0.190121	0.105361	0.0	0.29548
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium falsenii	WP_025402727	364	0.5609090513	-51296.6845466144	5e-05	0.254559	0.290871	0.54548
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium flavescens	WP_075731132	350	0.5517101256	-51289.7521141324	0.132249	0.078746	0.0	0.21099
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium frankenforstense	WP_075663762	358	0.8804305817	-51293.7931477867	0.043221	0.072248	0.338267	0.45374
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium glaucum	WP_095660022	369	1.0	-51293.4464717396	0.160346	0.105361	0.0	0.26571
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium glutamicum	NP_600810	363	1.0	-51294.0674357129	0.007481	0.018189	0.0	0.02567
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium kroppenstedtii	WP_081429479	365	1.0	-51290.2870923447	0.055359	0.246537	0.253932	0.55583
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium phocae	WP_075733990	351	1.0	-51297.2884224102	0.039558	0.177344	0.0	0.2169
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium pseudotuberculosis	WP_076761541	373	1.0	-51293.4338881387	5e-05	0.041273	0.0	0.04132
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium sphenisci	WP_075691966	375	1.0	-51293.5554167809	0.05246	0.149226	0.455501	0.65719
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium stationis	WP_075722899	353	0.5435156296	-51292.2762983933	0.018871	0.126068	0.194514	0.33945
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium striatum	WP_086891451	353	0.5084019164	-51297.4985668125	0.121949	0.057469	0.0	0.17942
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium suranareeae	WP_096456057	363	1.0	-51294.1176350127	0.020341	0.00566	0.0	0.026
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium ulcerans	WP_095075462	373	1.0	-51292.2867405807	0.041238	0.0001	0.0	0.04134
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium dioxanotrophicus	WP_087077775	310	1.0	-51293.5258650254	0.045252	0.015121	0.0	0.06037
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium leprae	NP_301472	310	0.5183136606	-51294.2144985613	0.005995	0.064255	0.084527	0.15478
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium shigaense	WP_096439376	310	0.6873421107	-51295.7545794628	0.006186	0.027878	0.105522	0.13959
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis	YP_009358784	310	0.8712248838	-51295.4971519091	0.013202	0.053499	0.10328	0.16998
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacteroides; Mycobacterium stephanolepidis	WP_096501926	319	0.5662232911	-51299.9741515874	0.014177	0.026503	0.0	0.04068
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacteroides; Mycobacteroides abscessus	YP_001703530	318	1.0	-51293.9238355469	0.014385	0.012052	0.0	0.02644
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacteroides; Mycobacteroides saopaulense	WP_083013158	318	1.0	-51296.1507218554	0.012955	0.013141	0.0	0.0261
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium aurum	WP_087022916	321	1.0	-51296.9369764908	0.055797	0.025577	0.0	0.08137
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium litorale	WP_078019672	321	0.8884232769	-51293.9518311356	0.032209	0.051674	0.0	0.08388
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	YP_887387	310	1.0	-51294.9891443525	0.0184	0.037864	0.0	0.05626
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium vaccae	WP_081529133	321	1.0	-51296.9648333724	0.09442	0.105361	0.050226	0.25001
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Dermabacteraceae; Brachybacterium; Brachybacterium faecium	YP_003153484	273	1.0	-51294.3937211702	0.020654	0.037843	0.0	0.0585
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Dermabacteraceae; Brachybacterium; Brachybacterium ginsengisoli	WP_096800829	273	1.0	-51285.2110722528	0.044927	0.01834	0.0	0.06327
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albireticuli	WP_087929007	341	0.6618311324	-51294.7083501954	0.096943	0.105361	0.0	0.2023
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces formicae	WP_098241220	339	0.8912448773	-51287.2600776139	0.006319	0.059354	0.0	0.06567
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces gilvosporeus	WP_083104136	343	0.5816664913	-51291.5726545818	0.033823	0.022506	0.243104	0.29943
ribE	Species	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces hygroscopicus	WP_078639816	338	1.0	-51280.8875570205	0.013367	0.055033	0.135459	0.20386
