#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
ribK	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus sulfaticallidus	WP_015591634	357	1.0	-191118.9097905527	0.05353	0.582238	0.167381	0.80315
ribK	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus veneficus	WP_013683716	355	0.8096681868	-191107.2330509154	5e-05	0.629862	0.156273	0.78619
ribK	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Geoglobus; Geoglobus acetivorans	WP_048090197	372	1.0	-187360.6652017934	0.779228	0.0001	1.990762	2.77009
ribK	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Geoglobus; Geoglobus ahangari	WP_048094821	357	0.7467000018	-191138.6986264539	0.138951	0.374694	0.0	0.51365
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanococcoides; Methanococcoides burtonii	WP_011499759	339	1.0	-191140.1575752895	5e-05	0.443292	0.0	0.44334
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanococcoides; Methanococcoides methylutens	WP_048206245	339	1.0	-191138.8727707604	0.14005	0.294771	0.0	0.43482
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalophilus; Methanohalophilus halophilus	WP_072561098	343	1.0	-191144.6782612146	0.088834	0.249741	0.0	0.33857
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalophilus; Methanohalophilus mahii	WP_013038459	343	1.0	-191148.7075201579	0.110812	0.220685	0.0	0.3315
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina acetivorans	WP_011020596	331	0.5238790027	-191225.9354739814	0.010697	0.558534	0.065887	0.63512
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina barkeri	WP_048108057	325	0.5187122136	-191079.617813125	0.009441	0.375173	0.0	0.38461
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina horonobensis	WP_048142204	332	1.0	-191233.3784330584	0.073419	0.61425	0.059562	0.74723
ribK	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina lacustris	WP_048124414	372	1.0	-188652.2225867164	0.826525	0.0001	1.969411	2.79604
ribK	Species	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus; Pyrococcus abyssi	WP_010868498	297	0.5423050527	-191123.7488052157	5e-05	0.302656	0.399259	0.70196
ribK	Species	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus; Pyrococcus furiosus	WP_011012125	296	0.5405799188	-191100.819583494	0.114886	0.355971	0.0	0.47086
ribK	Species	Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma; Thermoplasma acidophilum	WP_010901475	363	1.0	-191117.6739780941	0.582778	0.436049	0.0	1.01883
ribK	Species	Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma; Thermoplasma volcanium	WP_010916777	363	0.8535798184	-191118.2983102426	0.619869	0.370141	0.0	0.99001
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces gaoshouyii	WP_081171433	874	1.0	-191097.6505159456	0.116005	0.105361	0.255461	0.47683
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces oris	WP_060957700	874	1.0	-191096.2267383588	0.116005	0.105361	0.265399	0.48677
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces radicidentis	WP_067942619	874	1.0	-191095.6879422317	0.148888	0.105361	0.282231	0.53648
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces tangfeifanii	WP_071164342	867	0.8121337954	-191095.4955056402	0.03099	0.212891	0.552319	0.7962
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium actinocoloniiforme	WP_033504363	471	1.0	-191095.8264042846	0.162711	0.105361	0.346762	0.61483
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium adolescentis	WP_011742837	456	0.5357386038	-189214.373476694	0.003928	0.030506	0.087085	0.12152
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium adolescentis	WP_021912853	454	0.9793514395	-189208.133697697	0.071336	0.018289	0.0	0.08962
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium angulatum	WP_003827250	461	1.0	-189212.7071095317	0.105431	0.105361	0.066662	0.27745
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium angulatum	WP_045920412	461	1.0	-189219.619708043	0.105431	0.105361	0.066662	0.27745
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium animalis	WP_004268630	469	0.5869577676	-189209.4459090196	0.12725	0.105361	0.0	0.23261
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium animalis	WP_052824860	470	0.9329784234	-189213.6141516657	0.036656	0.171021	0.199252	0.40693
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium asteroides	WP_015022319	445	1.0	-191096.4172042394	0.111523	0.221058	0.0	0.33258
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium bifidum	WP_047270837	470	1.0	-189202.1946286216	0.028605	0.055636	0.373578	0.45782
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium bifidum	WP_053825194	470	1.0	-189204.6441560156	0.028833	0.060529	0.373578	0.46294
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium breve	WP_003832898	460	1.0	-189215.106235059	0.04263	0.037888	0.0	0.08052
ribK	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium breve	WP_106648920	460	1.0	-189215.106235059	0.04263	0.037888	0.0	0.08052
