1FFK	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Haloarculaceae; g__Haloarcula
AAN73380	d__Eukaryota; p__Chordata; c__Leptocardii; o__Amphioxiformes; f__Branchiostomidae; g__Branchiostoma; s__Branchiostoma lanceolatum
AIF04392	d__Archaea; p__Euryarchaeota; c__Candidatus Poseidoniia; o__Candidatus Poseidoniales
PIN72425	d__Archaea; p__Candidatus Woesearchaeota
PIN73431	d__Archaea; p__Candidatus Woesearchaeota
PIN75892	d__Archaea; p__Candidatus Woesearchaeota
PIN76413	d__Archaea; p__Candidatus Woesearchaeota
PIN80272	d__Archaea; p__Candidatus Woesearchaeota
PIN85810	d__Archaea; p__Candidatus Diapherotrites
PIN86487	d__Archaea; p__Candidatus Woesearchaeota
PIN87409	d__Archaea; p__Candidatus Woesearchaeota
PIN98696	d__Archaea; p__Candidatus Diapherotrites
PIO00470	d__Archaea
AIF06102	d__Archaea; p__Euryarchaeota; c__Candidatus Poseidoniia; o__Candidatus Poseidoniales
PIO08942	d__Archaea; p__Candidatus Woesearchaeota
PIO76448	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Strongylida; f__Haemonchidae; g__Teladorsagia; s__Teladorsagia circumcincta
PIS52339	r__Root
PIS54366	r__Root
PIS77734	d__Eukaryota; p__Platyhelminthes; c__Trematoda; o__Plagiorchiida; f__Fasciolidae; g__Fasciola; s__Fasciola hepatica
PIT84398	d__Archaea; p__Candidatus Micrarchaeota
PIU15090	d__Archaea; p__Euryarchaeota; c__Hadesarchaea
PIU21109	d__Archaea; p__Candidatus Diapherotrites
PIU59326	d__Archaea; p__Candidatus Bathyarchaeota
PIU81679	d__Archaea; p__Candidatus Micrarchaeota
AIF06263	d__Archaea; p__Euryarchaeota; c__Candidatus Poseidoniia; o__Candidatus Poseidoniales
PIU88972	d__Archaea
PIV70474	d__Archaea; p__Euryarchaeota
PIX31410	d__Archaea; p__Candidatus Bathyarchaeota
PIX31629	d__Archaea; p__Candidatus Bathyarchaeota
PIY88305	d__Archaea; p__Thaumarchaeota
PIZ52114	d__Archaea; p__Candidatus Woesearchaeota
PIZ53272	d__Archaea; p__Candidatus Woesearchaeota
PJF17763	d__Eukaryota; p__Cryptomycota
PKA58408	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Orchidaceae; g__Apostasia; s__Apostasia shenzhenica
PKA62230	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Orchidaceae; g__Apostasia; s__Apostasia shenzhenica
AIF15265	d__Archaea; p__Euryarchaeota; c__Candidatus Poseidoniia; o__Candidatus Poseidoniales
PKI82636	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia vespertilionis
PKK50055	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma harzianum
PKK81265	d__Archaea; p__Euryarchaeota; c__Thermoplasmata
PKK85962	d__Archaea; p__Euryarchaeota; c__Thermoplasmata
PKL54430	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Candidatus Methanoperedenaceae
PKL55228	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales
PKL60443	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales
