SeqID	Organism	Domain	Phylum	Class	Order	Family	Genus	Species
P9WFZ5	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
P31678	Escherichia coli (strain K12)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
P9WFZ4	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
Q49734	Mycobacterium leprae (strain TN)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium leprae
B2HDP8	Mycobacterium marinum (strain ATCC BAA-535 / M)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum
Q73U90	Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
A5U846	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
A0PMI0	Mycobacterium ulcerans (strain Agy99)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium ulcerans
A0QKN5	Mycobacterium avium (strain 104)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
Q7TWL7	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
A1KP65	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
E1WGG9	Salmonella typhimurium (strain SL1344)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
P0CL50	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica (Salmonella choleraesuis)
P55611	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium	Rhizobium fredii (Sinorhizobium fredii)
