#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
269797.Mbar_A1255    -            316 TIGR01114            TIGR01114    314  1.5e-181  594.5   0.7   1   1  1.6e-181  1.6e-181  594.4   0.7     1   314     1   316     1   316 1.00 -
192952.MM_1540       -            316 TIGR01114            TIGR01114    314  2.1e-178  584.1   0.5   1   1  2.4e-178  2.4e-178  584.0   0.5     1   314     1   316     1   316 1.00 -
644281.MFS40622_1307 -            319 TIGR01114            TIGR01114    314    3e-176  577.1   0.9   1   1  3.3e-176  3.3e-176  576.9   0.9     1   313     1   318     1   319 0.99 -
243232.MJ_0854       -            319 TIGR01114            TIGR01114    314    6e-176  576.1   0.9   1   1  6.7e-176  6.7e-176  575.9   0.9     1   314     1   319     1   319 0.99 -
579137.Metvu_0157    -            319 TIGR01114            TIGR01114    314  1.8e-175  574.5   0.7   1   1    2e-175    2e-175  574.4   0.7     1   314     1   319     1   319 0.99 -
188937.MA0269        -            316 TIGR01114            TIGR01114    314  1.9e-175  574.4   0.7   1   1  2.1e-175  2.1e-175  574.3   0.7     1   314     1   316     1   316 0.99 -
79929.MTBMA_c15400   -            310 TIGR01114            TIGR01114    314  2.6e-172  564.1   0.9   1   1  2.9e-172  2.9e-172  564.0   0.9     1   313     1   309     1   310 1.00 -
187420.MTH1156       -            310 TIGR01114            TIGR01114    314  1.4e-171  561.7   1.0   1   1  1.5e-171  1.5e-171  561.6   1.0     1   313     1   309     1   310 1.00 -
190192.MK0662        -            322 TIGR01114            TIGR01114    314  5.8e-171  559.7   3.4   1   1  6.4e-171  6.4e-171  559.6   3.4     4   313     5   321     1   322 0.99 -
880724.Metig_1245    -            319 TIGR01114            TIGR01114    314  7.2e-169  552.8   0.6   1   1  8.1e-169  8.1e-169  552.7   0.6     1   313     1   318     1   319 0.99 -
573064.Mefer_0946    -            319 TIGR01114            TIGR01114    314  3.3e-167  547.4   1.6   1   1  3.6e-167  3.6e-167  547.2   1.6     1   313     1   318     1   319 0.99 -
523846.Mfer_0776     -            310 TIGR01114            TIGR01114    314  1.1e-166  545.6   1.2   1   1  1.3e-166  1.3e-166  545.4   1.2     1   313     1   309     1   310 1.00 -
573063.Metin_0273    -            319 TIGR01114            TIGR01114    314  1.1e-162  532.5   0.2   1   1  1.2e-162  1.2e-162  532.4   0.2     1   313     1   318     1   319 0.99 -
419665.Maeo_1276     -            319 TIGR01114            TIGR01114    314  2.7e-161  527.9   0.4   1   1    3e-161    3e-161  527.8   0.4     1   313     1   318     1   319 0.99 -
679901.Mzhil_1724    -            318 TIGR01114            TIGR01114    314  1.2e-159  522.5   2.7   1   1  1.4e-159  1.4e-159  522.3   2.7     1   313     1   317     1   318 0.98 -
647113.Metok_0948    -            319 TIGR01114            TIGR01114    314  1.2e-159  522.5   0.8   1   1  1.4e-159  1.4e-159  522.3   0.8     1   313     1   318     1   319 0.99 -
402880.MmarC5_0009   -            319 TIGR01114            TIGR01114    314  2.7e-159  521.4   2.5   1   1    3e-159    3e-159  521.2   2.5     1   313     1   318     1   319 0.99 -
406327.Mevan_0880    -            319 TIGR01114            TIGR01114    314  9.8e-159  519.5   2.0   1   1  1.1e-158  1.1e-158  519.4   2.0     1   313     1   318     1   319 0.99 -
267377.MMP1567       -            319 TIGR01114            TIGR01114    314    2e-158  518.5   2.3   1   1  2.3e-158  2.3e-158  518.3   2.3     1   313     1   318     1   319 0.99 -
444158.MmarC6_1103   -            319 TIGR01114            TIGR01114    314  1.3e-157  515.8   2.1   1   1  1.5e-157  1.5e-157  515.6   2.1     1   313     1   318     1   319 0.99 -
456320.Mvol_1136     -            319 TIGR01114            TIGR01114    314  3.4e-157  514.5   0.6   1   1  3.8e-157  3.8e-157  514.3   0.6     1   313     1   318     1   319 0.99 -
