Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
TIGRFAM_seed_named_formatted	TIGR04246_gi|221635600|ref|YP_002523476./100-703	NosZ	1	604	r__Root; d__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__Thermomicrobiales; f__Thermomicrobiaceae; g__Thermomicrobium; s__Thermomicrobium roseum	1.0	226	7.7e-238	1.0	0.0137	0.0001,0.0136,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|255034499|ref|YP_003085120./37-640	NosZ	1	604	r__Root; d__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__Dyadobacter fermentans	1.0	466	1.3e-259	1.0	0.0173	0.003,0.0143,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|138895390|ref|YP_001125843./41-620	NosZ	1	580	r__Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__Geobacillus thermodenitrificans	1.0	1088	5.9e-248	1.0	0.0017	0.0001,0.0016,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|217969098|ref|YP_002354332./14-651	NosZ	56	638	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Zoogloeaceae; g__Thauera; s__Thauera sp. MZ1T	1.0	1139	3.1e-223	1.0	0.0568	0.0075,0.0493,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|126665827|ref|ZP_01736808.1/19-630	NosZ	40	612	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Marinobacteraceae; g__Marinobacter; s__Marinobacter sp. ELB17	1.0	1540	9.5e-258	1.0	0.0127	0.0001,0.0127,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|159045734|ref|YP_001534528./9-643	NosZ	47	635	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Dinoroseobacter; s__Dinoroseobacter shibae	1.0	1781	4.1e-249	1.0	0.0199	0.0034,0.0165,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|258546088|ref|ZP_05706322.1/8-633	NosZ	38	626	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__Cardiobacterium hominis	1.0	2157	2e-257	1.0	0.0222	0.0001,0.0221,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|192290736|ref|YP_001991341./9-641	NosZ	49	633	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Rhodopseudomonas; s__Rhodopseudomonas palustris	1.0	2300	5.7e-260	1.0	0.0225	0.0001,0.0224,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|183219805|ref|YP_001837801./37-639	NosZ	1	603	r__Root; d__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Leptospirales; f__Leptospiraceae; g__Leptospira; s__Leptospira meyeri	1.0	236	2.4e-234	1.0	0.046	0.0135,0.0325,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|197121870|ref|YP_002133821./47-619	NosZ	1	573	r__Root; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales (fruiting gliding bacteria); f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__Anaeromyxobacter sp. K	1.0	1009	5.4e-238	1.0	0.0052	0.0001,0.0051,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|126454828|ref|YP_001066380./16-654	NosZ	57	639	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia pseudomallei	1.0	1244	7e-231	1.0	0.0419	0.0001,0.0418,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|56708840|ref|YP_164881.1|/9-631	NosZ	35	623	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria; s__Ruegeria pomeroyi	1.0	1989	5.5e-262	1.0	0.029	0.0001,0.029,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|78777496|ref|YP_393811.1|/45-642	NosZ	1	598	r__Root; d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Thiovulaceae; g__Sulfurimonas; s__Sulfurimonas denitrificans	1.0	155	2.4e-240	1.0	0.0098	0.0001,0.0097,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|288817484|ref|YP_003431831./40-640	NosZ	1	601	r__Root; d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobacter; s__Hydrogenobacter thermophilus	1.0	259	9.8e-257	1.0	0.0076	0.0009,0.0067,0.0
TIGRFAM_seed_named_formatted	TIGR04246_gi|226226791|ref|YP_002760897./53-653	NosZ	1	601	r__Root; d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__Gemmatimonas aurantiaca	1.0	986	3e-249	1.0	0.0109	0.0009,0.01,0.0
TIGRFAM_seed_named_formatted	TIGR04244_gi|224823727|ref|ZP_03696836.1/9-642	NosZ	53	634	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Pseudogulbenkiania; s__Pseudogulbenkiania ferrooxidans	1.0	1133	2.2e-232	1.0	0.056	0.005,0.051,0.0
