SeqID	Organism	Domain	Phylum	Class	Order	Family	Genus	Species
P9WN11	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
P31677	Escherichia coli (strain K12)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
A0R4M9	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis (Mycobacterium smegmatis)
P9WN10	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
Q50167	Mycobacterium leprae (strain TN)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium leprae
A5U8G5	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
Q743L8	Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
A0PUT6	Mycobacterium ulcerans (strain Agy99)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium ulcerans
A1TFL3	Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / BCRC 16820 / KCTC 9966 / NRRL B-24157 / PYR-1) (Mycobacterium vanbaalenii)	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium vanbaalenii (Mycobacterium vanbaalenii)
A4T7Q6	Mycolicibacterium gilvum (strain PYR-GCK) (Mycobacterium gilvum (strain PYR-GCK))	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium gilvum
