#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
CdhA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus fulgidus	224325.AF2397	94	1.0	-32906.7005649141	0.209412	0.188193	0.155348	0.55295
CdhA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus fulgidus	WP_010878596	67	1.0	-32750.910573293	0.101222	0.046315	0.0	0.14754
CdhA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus veneficus	693661.Arcve	97	1.0	-33873.4940202087	0.124659	0.123655	0.089319	0.33763
CdhA	Species	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter; Methanothermobacter marburgensis	79929.MTBMA	103	1.0	-33494.4067270644	0.108282	0.234096	0.0	0.34238
CdhA	Species	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter; Methanothermobacter thermautotrophicus	187420.MTH1708	45	1.0	-33930.0894578224	0.022167	0.022408	0.0	0.04458
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus fervens	573064.Mefer	56	1.0	-33938.2481920135	0.021825	0.037118	0.038496	0.09744
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus infernus	573063.Metin	110	0.9689273405	-33414.7114069737	0.059624	0.207402	0.440141	0.70717
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus jannaschii	243232.MJ	150	0.999713315	-34023.4750566814	0.027471	0.038506	0.120441	0.18642
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus jannaschii	WP_010869648	55	1.0	-33901.1656717869	0.046812	0.003604	0.0	0.05042
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus vulcanius	579137.Metvu	148	1.0	-33645.3175222951	0.022105	0.105361	0.0	0.12747
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus aeolicus	419665.Maeo	56	1.0	-33203.1836479051	0.06611	0.105361	0.0	0.17147
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis	426368.MmarC7	36	1.0	-33777.7715533531	0.088857	0.06793	0.0	0.15679
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis	267377.MMP0985	36	1.0	-33759.8480386684	0.081484	0.047783	0.0	0.12927
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis	402880.MmarC5	36	1.0	-33770.7210104018	0.082294	0.060856	0.0	0.14315
CdhA	Species	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis	444158.MmarC6	36	1.0	-33777.8350595671	0.086188	0.067943	0.0	0.15413
