#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
ribF	Species	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; Terriglobus roseus	WP_014787252	392	1.0	-44132.3584759648	0.169231	0.105361	0.0	0.27459
ribF	Species	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; Terriglobus saanensis	WP_013567272	392	1.0	-44129.4324659785	0.205939	0.085382	0.0	0.29132
ribF	Species	Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Gordonibacter; Gordonibacter massiliensis	WP_080143232	416	1.0	-44131.5142015363	0.034573	0.030548	0.0	0.06512
ribF	Species	Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Gordonibacter; Gordonibacter urolithinfaciens	WP_096226658	416	1.0	-44131.177065994	0.031728	0.032923	0.0	0.06465
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides caecimuris	WP_065539615	218	1.0	-44131.5726011454	0.034197	0.065601	0.0	0.0998
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis	WP_101603994	224	1.0	-44130.9674204776	0.105136	0.064464	0.090991	0.26059
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides helcogenes	WP_013546597	222	0.5987782429	-44129.1095555624	0.015022	0.115794	0.0	0.13082
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides heparinolyticus	WP_106069877	223	1.0	-44129.3113604111	0.111364	0.015318	0.0	0.12668
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides salanitronis	WP_013618112	229	1.0	-44127.9137720922	0.146017	0.177023	0.335996	0.65904
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides thetaiotaomicron	NP_811456	218	1.0	-44130.1557628339	0.078805	0.027912	0.0	0.10672
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides zoogleoformans	WP_106040956	223	1.0	-44132.7627013985	0.080039	0.105361	0.0	0.1854
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas asaccharolytica	WP_044211427	216	1.0	-44123.2012819613	0.625685	0.3016	0.0	0.92729
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas gingivalis	WP_004584183	238	0.6613717559	-44129.6719767371	0.053388	0.34667	0.753629	1.15369
ribF	Species	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas gingivalis	WP_097627245	238	0.6613717559	-44129.6719767371	0.053388	0.34667	0.753629	1.15369
