3CMA	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Haloarculaceae; g__Haloarcula
AAP80706	d__Eukaryota; p__Rhodophyta; c__Florideophyceae; o__Ceramiales; f__Ceramiaceae; g__Griffithsia; s__Griffithsia japonica
AGH70176	d__Eukaryota; p__Placozoa
PIN67258	d__Archaea; p__Candidatus Altiarchaeota
PIN70495	d__Archaea; p__Candidatus Woesearchaeota
PIN72256	d__Archaea; p__Candidatus Woesearchaeota
PIN73432	d__Archaea; p__Candidatus Woesearchaeota
PIN75891	d__Archaea; p__Candidatus Woesearchaeota
PIN76412	d__Archaea; p__Candidatus Woesearchaeota
PIN80273	d__Archaea; p__Candidatus Woesearchaeota
PIN85809	d__Archaea; p__Candidatus Diapherotrites
PIN86488	d__Archaea; p__Candidatus Woesearchaeota
PIN87408	d__Archaea; p__Candidatus Woesearchaeota
AGJ74551	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Neodiplogasteridae; g__Pristionchus; s__Pristionchus bucculentus
PIN90169	d__Archaea
PIN90836	d__Archaea
PIN93543	d__Archaea
PIN94597	d__Archaea
PIN94816	d__Archaea
PIN98697	d__Archaea; p__Candidatus Diapherotrites
PIO00471	d__Archaea
PIO04098	d__Archaea; p__Candidatus Woesearchaeota
PIO06185	d__Archaea; p__Candidatus Micrarchaeota
PIO07461	d__Archaea
AGJ76543	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hemiptera; f__Aleyrodidae; g__Bemisia; s__Bemisia tabaci
PIO08328	d__Archaea
PIO76538	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Strongylida; f__Haemonchidae; g__Teladorsagia; s__Teladorsagia circumcincta
PIS48680	r__Root
PIT84397	d__Archaea; p__Candidatus Micrarchaeota
PIT85410	d__Archaea; p__Candidatus Micrarchaeota
PIU02956	d__Archaea; p__Candidatus Diapherotrites
PIU09399	d__Archaea; p__Candidatus Micrarchaeota
PIU21108	d__Archaea; p__Candidatus Diapherotrites
PIU22339	d__Archaea; p__Candidatus Diapherotrites
PIU59327	d__Archaea; p__Candidatus Bathyarchaeota
AGM32221	d__Eukaryota; p__Arthropoda; c__Insecta; o__Blattodea; f__Rhinotermitidae; g__Coptotermes; s__Coptotermes formosanus
PIU63225	d__Archaea
PIU75989	d__Archaea
PIV70473	d__Archaea; p__Euryarchaeota
PIW34550	d__Archaea; p__Thaumarchaeota
