#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
AckA	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina barkeri	269797.Mbar_A1820	1938	1.0	-210048.5403673004	0.052009	0.061521	0.0	0.11353
AckA	Species	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina mazei	192952.MM_0495	1938	1.0	-210050.6020306481	0.076658	0.038757	0.0	0.11542
AckA	Species	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; Granulicella mallensis	682795.AciX8_4385	1393	1.0	-209837.7381587836	0.541755	0.105361	0.0	0.64712
AckA	Species	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; Granulicella mallensis	682795.AciX8_1456	1016	1.0	-209786.0160564246	0.178032	0.039732	0.0	0.21776
AckA	Species	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; Granulicella tundricola	940615.AciX9_1690	1393	1.0	-209802.1642345019	0.45661	0.105361	0.0	0.56197
AckA	Species	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; Granulicella tundricola	940615.AciX9_0152	1016	1.0	-209767.8605318727	0.078949	0.127215	0.0	0.20616
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Mobiluncus; Mobiluncus curtisii	585198.HMPREF0574_1634	953	1.0	-210041.7856365683	0.263405	0.105361	0.0	0.36877
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Mobiluncus; Mobiluncus mulieris	596328.HMPREF0578_0479	953	1.0	-210048.3608157904	0.33156	0.105361	0.0	0.43692
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium angulatum	518635.BIFANG_03097	948	1.0	-210048.8708024183	0.0377	0.011373	0.138865	0.18794
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium animalis	552531.BIF_00693	951	1.0	-210052.7709666733	0.072009	0.094506	0.139137	0.30565
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium gallicum	561180.BIFGAL_02627	949	1.0	-210050.1746436506	0.078255	0.105361	0.139137	0.32275
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium accolens	525260.HMPREF0276_0619	883	0.9994385279	-210046.1181274548	0.020471	0.015116	0.058505	0.09409
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium ammoniagenes	649754.HMPREF0281_01538	899	1.0	-210041.5577080864	0.056645	0.049154	0.100337	0.20614
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium amycolatum	553204.CORAM0001_1352	896	1.0	-210039.9460822648	0.20419	0.105361	0.0	0.30955
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium diphtheriae	698964.CDPW8_2023	889	1.0	-210052.2266572211	0.079064	0.045543	0.0	0.12461
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium efficiens	196164.HMPREF0290_0281	896	1.0	-210044.7285676338	0.019325	0.037	0.0	0.05633
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium genitalium	585529.HMPREF0291_10815	900	1.0	-210046.1568979151	0.147145	0.105361	0.0	0.25251
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium glucuronolyticum	548477.HMPREF0294_2436	899	1.0	-210041.7742225643	0.04969	0.105361	0.274971	0.43002
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium glutamicum	196627.NCgl2656	896	1.0	-210042.4762427276	0.050375	0.010553	0.0	0.06093
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium jeikeium	306537.jk0251	873	0.8515979381	-210046.6670666462	0.018882	0.065001	0.2245	0.30838
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium kroppenstedtii	645127.ckrop_1686	896	1.0	-210038.9938835426	0.16503	0.105361	0.0	0.27039
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium lipophiloflavum	525263.HMPREF0298_0175	900	1.0	-210045.6545547744	0.142115	0.105361	0.0	0.24748
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium matruchotii	553207.HMPREF0299_7494	889	1.0	-210047.083269522	0.0741	0.105361	0.0	0.17946
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium pseudogenitalium	525264.HMPREF0305_11708	882	1.0	-210051.3284937321	0.028472	0.0001	0.0	0.02857
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium pseudotuberculosis	889513.CpI19_1842	897	1.0	-210045.9317736918	0.05808	0.105361	0.117785	0.28123
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium resistens	662755.CRES_0149	873	0.9425139296	-210050.1961120199	0.018295	0.204095	0.16631	0.3887
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium striatum	525268.HMPREF0308_2172	882	1.0	-210040.4008489158	5e-05	0.0285	0.0	0.02855
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium urealyticum	504474.cur_1738	872	1.0	-210047.2591535704	0.089965	0.105361	0.0	0.19533
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium variabile	858619.CVAR_0456	901	1.0	-210046.4133053077	0.12723	0.105361	0.209643	0.44223
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia; Gordonia alkanivorans	1027371.GOALK_016_00890	861	1.0	-210041.3413818172	0.10632	0.105361	0.0	0.21168
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia; Gordonia bronchialis	526226.Gbro_4397	861	1.0	-210044.8207828934	0.123405	0.105361	0.0	0.22877
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia; Gordonia neofelifaecis	644548.SCNU_16858	862	1.0	-210037.7857612596	0.023148	0.155577	0.176915	0.35564
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia; Gordonia polyisoprenivorans	1112204.GPOL_c06370	863	0.9925022197	-210039.7108107492	0.009664	0.048646	0.284303	0.34261
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium	262316.MAP3886	922	1.0	-210047.8879473234	0.052126	0.019079	0.0	0.0712
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium colombiense	1041522.MCOL_09558	922	1.0	-210046.161220279	0.026801	0.048972	0.0	0.07577
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium kansasii	557599.MkanA1_010100006140	923	1.0	-210044.203489059	0.098045	0.105361	0.0	0.20341
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium marinum	216594.MMAR_0711	923	1.0	-210047.8819300248	0.11971	0.105361	0.0	0.22507
AckA	Species	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis	419947.MRA_0415	920	1.0	-210036.7052791866	0.031265	0.04063	0.174875	0.24677
