LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NosZ,Haloarcula marismortui | tr|Q5V4X2|Q5V4X2_HALMA
2_NosZ,Halomicroarcula pellucida | tr|A0A830GFG5|A0A830GFG5_9EURY
3_NosZ,Halobacterium hubeiense | tr|A0A0U5CV14|A0A0U5CV14_9EURY
4_NosZ,Haloferax gibbonsii | tr|A0A871BKY2|A0A871BKY2_HALGI
5_NosZ,Haloferax mediterranei (Halobacterium mediterranei) | tr|I3R9L6|I3R9L6_HALMT
6_NosZ,Bryobacterales | tr|A0A7C3CDG1|A0A7C3CDG1_9BACT
7_NosZ,Holophagales | tr|A0A7T9CM20|A0A7T9CM20_9BACT
8_NosZ,Cryobacterium sp. TMT2-17-1 | tr|A0A5F0FEI1|A0A5F0FEI1_9MICO
9_NosZ,Aquificaceae | tr|A0A7C7UUU9|A0A7C7UUU9_9AQUI
10_NosZ,Hydrogenobacter sp. | tr|A0A7C2ZFT0|A0A7C2ZFT0_9AQUI
11_NosZ,Hydrogenobacter sp. T-8 | tr|A0A6C1BV27|A0A6C1BV27_9AQUI
12_NosZ,Hydrogenobacter thermophilus | YP_003431831
13_NosZ,Persephonella marina | 123214.PERMA_1257
14_NosZ,Persephonella sp. IF05-L8 | 1158338.JNLJ01000001_gene410
15_NosZ,Sulfurihydrogenibium subterraneum | 1123325.JHUV01000008_gene744
16_NosZ,Bacteroidetes | 1089550.ATTH01000001_gene472
17_NosZ,Bacteroidetes | 309807.SRU_0308
18_NosZ,Bacteroidetes | 518766.Rmar_2012
19_NosZ,Bacteroidales | tr|A0A354C025|A0A354C025_9BACT
20_NosZ,Bacteroides sp. | tr|A0A7C1VES3|A0A7C1VES3_9BACE
21_NosZ,Bacteroides sp. HF-5092 | tr|A0A553E5I1|A0A553E5I1_9BACE
22_NosZ,Proteiniphilum sp. X52 | tr|A0A3M8ELN6|A0A3M8ELN6_9BACT
23_NosZ,Porphyromonadaceae | tr|A0A353Q5Y9|A0A353Q5Y9_9PORP
