Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CCG92750  coded_by=complement(1866..2666),organism=Methylacidiphilum fumariolicum SolV,definition=PmoA1	XmoA	18	264	r__Root; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum fumariolicum	1.0	12	1.1e-118	1.0	0.0179	0.0001,0.0179,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ADE13856  coded_by=683261..684004,organism=Nitrosococcus halophilus Nc 4,definition=methane monooxygenase/ammonia monooxygenase, subunit A	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Nitrosococcus; s__Nitrosococcus halophilus	1.0	47	3.3e-114	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAU92182  coded_by=complement(1927548..1928291),organism=Methylococcus capsulatus str. Bath,definition=methane monooxygenase, A subunit	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__Methylococcus capsulatus	1.0	59	1.3e-125	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAL86638  coded_by=1..825,organism=Nitrosomonas sp. JL21,definition=ammonia monooxygenase subunit A	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas sp. Is79A3	1.0	17	1e-110	1.0	0.0601	0.0142,0.0459,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22833  coded_by=1567..2355,organism=Methylococcaceae bacterium ET-SHO,definition=methane monooxygenase protein A2	XmoA	6	253	r__Root	1.0	67	2.4e-101	1.0	1.4228	0.0795,0.5891,0.7542
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAG60667  coded_by=824..1645,organism=Nitrosomonas cryotolerans ATCC 49181,definition=ammonia monooxygenase subunit A	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae	1.0	20	2.9e-110	1.0	0.1684	0.0165,0.0679,0.084
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22839  coded_by=2160..2948,organism=Methylococcaceae bacterium ET-HIRO,definition=methane monooxygenase protein A2	XmoA	5	253	r__Root	1.0	67	2.1e-101	1.0	1.3977	0.054,0.5895,0.7542
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ALK01329  coded_by=<1..>555,organism=Nitrosopumilus sp. DDS1,definition=ammonia monooxygenase subunit A	XmoA	1	184	r__Root; d__Archaea; p__Thaumarchaeota	1.0	0	1.6e-53	1.0	0.0225	0.0001,0.0225,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABY77592  coded_by=<1..>603,organism=Candidatus Nitrososphaera gargensis,definition=putative ammonia monooxygenase subunit A	XmoA	1	201	r__Root; d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaera; s__Candidatus Nitrososphaera evergladensis	1.0	1	2.9e-57	1.0	0.0633	0.0262,0.0371,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABB69924  coded_by=<1..>626,organism=Nitrosovibrio sp. FJI82,definition=ammonia monooxygenase subunit A	XmoA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	1.1e-85	1.0	0.0737	0.0206,0.0531,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABB69926  coded_by=<1..>626,organism=Nitrosomonas sp. IWT310,definition=ammonia monooxygenase subunit A	XmoA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas europaea	1.0	19	3e-81	1.0	0.0377	0.0001,0.0376,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAM34724  coded_by=<1..>531,organism=Nitrosococcus oceani,definition=AmoA	XmoA	1	177	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Nitrosococcus; s__Nitrosococcus oceani	1.0	48	7.2e-89	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AGU99225  coded_by=<1..>531,organism=Methylobacter sp. CMS7,definition=particulate methane monooxygenase	XmoA	1	177	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter tundripaludum	1.0	52	5.6e-98	1.0	0.0428	0.0135,0.0294,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAG13080  coded_by=<1..>508,organism=Methylobacter sp. LW12,definition=PmoA	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter tundripaludum	1.0	52	6.6e-94	1.0	0.0389	0.0251,0.0138,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AET87441  coded_by=complement(<1..>508),organism=Methyloglobulus morosus KoM1,definition=particulate methane monooxygenase alpha subunit	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methyloglobulus; s__Methyloglobulus morosus	1.0	53	1e-91	1.0	0.0002	0.0001,0.0001,0.0
