#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
ribA	Species	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Staphylothermus; Staphylothermus hellenicus	WP_052833587	860	0.5001296097	-57483.3616808472	0.048014	0.251396	0.0	0.29941
ribA	Species	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Staphylothermus; Staphylothermus marinus	WP_011838785	859	1.0	-57474.9591471263	0.081093	0.356378	0.0	0.43747
ribA	Species	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera; Metallosphaera cuprina	WP_013736661	863	0.9999906395	-57437.8669666364	0.630797	0.857284	0.0	1.48808
ribA	Species	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera; Metallosphaera sedula	WP_011921195	863	1.0	-57372.265477062	0.332142	0.671079	0.0	1.00322
ribA	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta; Vulcanisaeta distributa	WP_013335474	855	1.0	-57419.6302912538	5e-05	0.086427	0.0	0.08648
ribA	Species	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta; Vulcanisaeta moutnovskia	WP_013604655	855	1.0	-57375.542089664	0.076706	0.166054	0.0	0.24276
ribA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus fulgidus	WP_048095015	1044	1.0	-57369.0436270828	0.032016	0.052899	0.0	0.08492
ribA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus profundus	WP_012940533	1043	1.0	-57377.3247642783	0.082066	0.105361	0.26964	0.45707
ribA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus sulfaticallidus	WP_015591597	1046	0.9468069824	-57371.7463852125	0.02281	0.059488	0.198548	0.28085
ribA	Species	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus veneficus	WP_013683543	1044	1.0	-57377.3880858278	0.058794	0.028207	0.0	0.087
