AAA22143	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__Azotobacter vinelandii
AAA93021	d__Bacteria; p__Cyanobacteria
AAY78884	d__Bacteria; p__Cyanobacteria
AKG35116	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus durus
AKG35932	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus durus
AKG36390	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus durus
AKG53283	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia
AKG53285	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia
AKG64280	d__Eukaryota; p__Rhodophyta; c__Bangiophyceae; o__Bangiales; f__Bangiaceae; g__Bangia; s__Bangia atropurpurea
AKH21701	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
AKH21708	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
AKJ38129	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina barkeri
AKJ39925	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina barkeri
AAZ46163	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Azonexaceae; g__Dechloromonas; s__Dechloromonas aromatica
AKL11964	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
AKL98064	d__Bacteria; p__Elusimicrobia; c__Endomicrobia; o__Endomicrobiales; f__Endomicrobiaceae; g__Endomicrobium; s__Endomicrobium proavitum
AKN66278	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__Herbaspirillum seropedicae
AKN66280	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__Herbaspirillum seropedicae
AKO62477	d__Eukaryota
AKP55022	d__Eukaryota; p__Streptophyta; c__Pinopsida; o__Cupressales; f__Taxaceae; g__Amentotaxus; s__Amentotaxus argotaenia
AKS28421	d__Eukaryota; p__Rhodophyta; c__Bangiophyceae; o__Bangiales; f__Bangiaceae; g__Wildemania; s__Wildemania schizophylla
AKU10610	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Zoogloeaceae; g__Azoarcus; s__Azoarcus sp. CIB
AKV66052	d__Bacteria; p__Cyanobacteria
AKZ21092	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Prasiolales; f__Prasiolaceae; g__Prasiola; s__Prasiola crispa
AAZ46250	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Azonexaceae; g__Dechloromonas; s__Dechloromonas aromatica
ALA40939	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus peoriae
ALB41596	d__Bacteria; p__Cyanobacteria
ALB42159	d__Bacteria; p__Cyanobacteria
ALB42188	d__Bacteria; p__Cyanobacteria
ALB46780	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium beijerinckii
ALB48049	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium beijerinckii
ALB48059	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium beijerinckii
ALC17272	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Desulfuromonas; s__Desulfuromonas soudanensis
ALC17314	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Desulfuromonas; s__Desulfuromonas soudanensis
ALF52360	d__Bacteria; p__Cyanobacteria
AAZ59362	d__Bacteria; p__Cyanobacteria
ALF53419	d__Bacteria; p__Cyanobacteria
ALF53421	d__Bacteria; p__Cyanobacteria
ALF62913	d__Eukaryota
ALG60301	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Citromicrobium; s__Citromicrobium sp. JL477
ALG65365	d__Eukaryota; p__Streptophyta; c__Pinopsida; o__Cupressales; f__Cupressaceae; g__Cupressus; s__Cupressus gigantea
ALG69651	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__Azospirillum thiophilum
ALG69655	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__Azospirillum thiophilum
ALG89633	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Confluentimicrobium; s__Confluentimicrobium sp. EMB200-NS6
ALK91405	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__Limnohabitans sp. 103DPR2
ALN96666	d__Eukaryota; p__Streptophyta; c__Polypodiopsida; o__Polypodiales; f__Blechnaceae; g__Woodwardia; s__Woodwardia unigemmata
AAZ69151	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina barkeri
ALO20874	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadaceae; g__Chlamydomonas; s__Chlamydomonas nivalis
ALO20923	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadaceae; g__Microglena; s__Microglena monadina
ALO62623	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae
ALO62698	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Sphaeropleales; f__Mychonastaceae; g__Mychonastes; s__Mychonastes jurisii
