#Marker	Rank	Lineage	Query.Name	Internal.Node	Placement.LWR	Tree.Likelihood	Dist.Distal	Dist.Pendant	Dist.MeanTip	Dist.Total
pillin	Species	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Neisseria gonorrhoeae	AAA25466	52	1.0	-3815.7261425771	5e-05	0.0001	0.0	0.00015
pillin	Species	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Neisseria meningitidis	NP_273084	52	1.0	-3817.8018299008	5e-05	0.0001	0.0	0.00015
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacula; Desulfobacula phenolica	WP_092237916	10	1.0	-3819.9999766915	0.057998	0.0001	0.0	0.0581
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacula; Desulfobacula toluolica	CCK80296	10	1.0	-3820.1130151338	0.023413	0.030593	0.0	0.05401
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfurellales; Desulfurellaceae; Hippea; Hippea maritima	AEA33707	97	0.7576882619	-3822.0381749584	0.032792	0.021277	0.446616	0.50069
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geoalkalibacter; Geoalkalibacter ferrihydriticus	WP_040097998	88	1.0	-3820.0966344539	0.040588	0.033201	0.0	0.07379
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geoalkalibacter; Geoalkalibacter subterraneus	WP_040199521	88	1.0	-3820.784765661	0.038157	0.036071	0.0	0.07423
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter bemidjiensis	ACH39598	115	0.8282951042	-3818.2041969708	0.021418	0.0001	0.275895	0.29741
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter bremensis	WP_026840453	114	1.0	-3820.4910945583	0.020509	0.019711	0.0	0.04022
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter lovleyi	ACD95812	1	1.0	-3819.6775838796	5e-05	0.171257	0.0	0.17131
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter metallireducens	ABB31633	104	1.0	-3820.2146608671	0.073523	0.032395	0.0	0.10592
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter sulfurreducens	NP_952547	1	1.0	-3727.2156087468	0.171246	0.0001	0.0	0.17135
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter sulfurreducens	AAR35153	39	1.0	-3801.794012972	0.367215	0.370576	0.0	0.73779
pillin	Species	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Geobacter uraniireducens	ABQ26851	115	1.0	-3816.6885452582	0.02841	0.220772	0.060806	0.30999
pillin	Species	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Moraxella; Moraxella bovis	P07640	64	1.0	-3814.1819015723	0.3953	0.105361	0.0	0.50066
pillin	Species	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa	P04739	58	0.9743869303	-3744.4967993415	0.31899	0.02351	0.0	0.3425
pillin	Species	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa	WP_003103532	29	1.0	-3760.7248155895	0.183569	0.023844	0.83421	1.04162
pillin	Species	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas stutzeri	WP_011912242	66	1.0	-3814.5194917543	0.144564	0.105361	0.855706	1.10563
pillin	Class	Bacteria; Firmicutes; Bacilli	WP_000738626	28	1.0	-4427.5273432168	2.148085	1.158527	0.0	3.30661
pillin	Class	Bacteria; Firmicutes; Bacilli	AFQ58422	25	0.685546031	-4431.4440772149	0.719712	0.874152	0.0	1.59386
pillin	Class	Bacteria; Firmicutes; Clostridia	WP_084710848	72	1.0	-4421.837797357	0.486712	0.229605	0.610401	1.32672
pillin	Class	Bacteria; Firmicutes; Clostridia	CAC94922	26	1.0	-4426.3581652712	0.204676	0.458135	0.0	0.66281
pillin	Class	Bacteria; Proteobacteria; Alphaproteobacteria	AAK58496	30	1.0	-4525.9075020716	0.828748	0.740525	0.0	1.56927
pillin	Class	Bacteria; Proteobacteria; Betaproteobacteria	AAC28468	71	1.0	-4273.7393545299	0.424573	0.105361	0.0	0.52993
pillin	Class	Bacteria; Proteobacteria; Betaproteobacteria	NP_273084	71	1.0	-4265.6273778016	0.424573	0.105361	0.0	0.52993
pillin	Class	Bacteria; Proteobacteria; Betaproteobacteria	WP_019390097	71	1.0	-4269.7336323767	0.424573	0.105361	0.0	0.52993
