LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NarI,Root | 1046724.KB889897_gene3336
2_NarI,Root | 1232666.JANE01000081_gene386
3_NarI,Root | 1344012.ATMI01000001_gene1205
4_NarI,Root | 1345697.M493_03980
5_NarI,Root | 1345697.M493_09435
6_NarI,Root | 1345697.M493_17770
7_NarI,Root | 1434929.X946_2683
8_NarI,Root | 1449126.JQKL01000020_gene3325
9_NarI,Root | 1449126.JQKL01000042_gene1027
10_NarI,Root | 265729.GS18_0216615
11_NarI,Root | 469595.CSAG_01366
12_NarI,Root | 644968.DFW101_0370
13_NarI,Root | 644968.DFW101_2043
14_NarI,Root | 644968.DFW101_2186
15_NarI,Thermoplasmatales | tr|T0LVM9|T0LVM9_9ARCH
16_NarI,bacterium JKG1 | 1128421.JAGA01000003_gene3578
17_NarI,Geothrix fermentans DSM 14018 | 1121920.AUAU01000008_gene1616
18_NarI,Acidimicrobium ferrooxidans DSM 10331 | 525909.Afer_0971
19_NarI,Ilumatobacter coccineus YM16-304 | 1313172.YM304_39270
20_NarI,Candidatus Microthrix parvicella RN1 | 1229780.BN381_60088
21_NarI,Acidothermus cellulolyticus 11B | 351607.Acel_0506
22_NarI,Actinomycetales | tr|A0A2N1JI46|A0A2N1JI46_9ACTO
23_NarI,Actinomycetales | tr|A0A4Q4D1T0|A0A4Q4D1T0_9ACTO
24_NarI,Actinomycetales | tr|A0A7X7HW73|A0A7X7HW73_9ACTO
25_NarI,Actinomycetales | tr|A0A7X7JCB5|A0A7X7JCB5_9ACTO
26_NarI,Actinomycetales | tr|A0A7X7NLL7|A0A7X7NLL7_9ACTO
27_NarI,Actinomycetales | tr|A0A7X9CA62|A0A7X9CA62_9ACTO
28_NarI,Actinomycetales | tr|A0A847KL59|A0A847KL59_9ACTO
29_NarI,Actinobaculum sp. 352 | tr|A0A3S0AAR8|A0A3S0AAR8_9ACTO
30_NarI,Actinobaculum sp. oral taxon 183 str. F0552 | 1227261.HMPREF0043_01369
31_NarI,Actinomyces bowdenii | tr|A0A3P1V805|A0A3P1V805_9ACTO
32_NarI,Actinomyces bowdenii | tr|A0A853EKA6|A0A853EKA6_9ACTO
33_NarI,Actinomyces dentalis DSM 19115 | 1120941.AUBL01000035_gene2204
34_NarI,Actinomyces graevenitzii | tr|A0A2N6V4S6|A0A2N6V4S6_9ACTO
35_NarI,Actinomyces israelii DSM 43320 | 1120944.JONS01000014_gene1084
36_NarI,Actinomyces marmotae | tr|A0A6M8B7Q4|A0A6M8B7Q4_9ACTO
37_NarI,Actinomyces massiliensis F0489 | 1125718.HMPREF1318_1519
38_NarI,Actinomyces respiraculi | tr|A0A7T0PWW6|A0A7T0PWW6_9ACTO
39_NarI,Actinomyces sp. 2119 | tr|A0A418UUA6|A0A418UUA6_9ACTO
40_NarI,Actinomyces sp. 432 | tr|A0A7L5AMQ4|A0A7L5AMQ4_9ACTO
41_NarI,Actinomyces sp. HMT897 | tr|A0A7T8E264|A0A7T8E264_9ACTO
42_NarI,Actinomyces sp. HPA0247 | 1203556.HMPREF1478_00891
43_NarI,Actinomyces sp. ICM39 | 1105029.HMPREF1137_0973
44_NarI,Actinomyces sp. ICM47 | 936548.HMPREF1136_0356
45_NarI,Actinomyces sp. ICM54 | tr|Z4XI25|Z4XI25_9ACTO
46_NarI,Actinomyces sp. ICM58 | tr|J2ZEP2|J2ZEP2_9ACTO
47_NarI,Actinomyces sp. S4-C9 | 1219581.HMPREF1628_00750
48_NarI,Actinomyces sp. S6-Spd3 | 1284680.HMPREF1627_02945
49_NarI,Actinomyces sp. oral taxon 170 str. F0386 | 762963.HMPREF9056_00989
50_NarI,Actinomyces sp. oral taxon 171 str. F0337 | 706439.HMPREF9057_00758
51_NarI,Actinomyces sp. oral taxon 172 str. F0311 | 1321775.HMPREF1980_01672
52_NarI,Actinomyces sp. oral taxon 175 str. F0384 | 944560.HMPREF9058_0941
53_NarI,Actinomyces sp. oral taxon 180 str. F0310 | 888052.HMPREF9006_1163
54_NarI,Actinomyces sp. oral taxon 448 str. F0400 | 888056.HMPREF9062_2249
55_NarI,Actinomyces sp. oral taxon 848 str. F0332 | 649743.HMPREF0972_01555
56_NarI,Actinomyces sp. oral taxon 849 str. F0330 | 653386.HMPREF0975_02110
57_NarI,Actinomyces timonensis DSM 23838 | 521393.JH806634_gene2205
58_NarI,Actinomyces urogenitalis DSM 15434 | 525246.HMPREF0058_2196
59_NarI,Actinomyces viscosus | tr|A0A3S4Z1V3|A0A3S4Z1V3_ACTVI
60_NarI,Ancrocorticia populi | tr|A0A2V1K852|A0A2V1K852_9ACTO
61_NarI,Flaviflexus salsibiostraticola | tr|A0A3Q8WU55|A0A3Q8WU55_9ACTO
62_NarI,Flaviflexus sp. H23T48 | tr|A0A3Q9G7F3|A0A3Q9G7F3_9ACTO
63_NarI,Gleimia europaea ACS-120-V-Col10b | 883069.HMPREF9238_00635
64_NarI,Gleimia hominis | tr|A0A2N6UR58|A0A2N6UR58_9ACTO
65_NarI,Mobiluncus curtisii ATCC 43063 | 548479.HMPREF0573_11449
66_NarI,Mobiluncus curtisii | tr|A0A7Y0UHN0|A0A7Y0UHN0_9ACTO
67_NarI,Mobiluncus holmesii | tr|E6M3V4|E6M3V4_9ACTO
68_NarI,Schaalia cardiffensis F0333 | 888050.HMPREF9004_1060
69_NarI,Schaalia georgiae DSM 6843 | 1120942.AUBM01000001_gene1304
70_NarI,Schaalia odontolytica ATCC 17982 | 411466.ACTODO_00946
71_NarI,Scrofimicrobium canadense | tr|A0A6N7W6V1|A0A6N7W6V1_9ACTO
72_NarI,Varibaculum cambriense DSM 15806 | 1123488.ATUF01000002_gene759
73_NarI,Varibaculum cambriense DORA_20 | 1403948.Q618_VCMC00003G0286
74_NarI,Varibaculum cambriense | tr|A0A2I1YA19|A0A2I1YA19_9ACTO
75_NarI,Winkia neuii subsp. neuii DSM 8576 | 1120945.ATUW01000007_gene798
