name	code	molecule	sub_model	marker_info	cluster_identity	ref_sequences	tree_tool	poly-params	lowest_reliable_rank	last_updated	description
#hzs	
#hzao	
#nirA	
#MtrA	
#MtrC	
#MtrH	
#CO_dh	
#RBsCO	
#OGFOxy	
#CitSyn	
#GH36	
#GH31	
#GH109	
#GH115	
McrB	M0702	prot	PROTGAMMALG	functional	0.97	158	RAxML	-4.9922,6.4521	Classes	05_Dec_2018	Methyl coenzyme M reductase beta subunit
McrG	M0705	prot	PROTGAMMALG	functional	0.97	155	RAxML	-5.7458,6.5854	Genera	05_Dec_2018	Methyl coenzyme M reductase gamma subunit
napA	D0201	prot	PROTGAMMALG	functional	0.90	332	RAxML	-6.3508,6.6605	Classes	05_Dec_2018	periplasmic nitrate reductase NapA
nifD	N0401	prot	PROTGAMMALG	functional	0.90	402	RAxML	-8.1368,6.5444	Orders	07_Dec_2018	nitrogenase molybdenum-iron protein alpha chain (K02586)
nifH	N0402	prot	PROTGAMMALG	functional	0.95	301	RAxML	-5.1159,6.3582	Phyla	07_Dec_2018	nitrogenase iron protein NifH (K02588)
#nirK	D0301	prot	PROTGAMMALG	functional	0.97	120	RAxML	-11.3207,6.9484	Orders	07_Dec_2018	nitrite reductase (NO-forming)
nirS	D0302	prot	PROTGAMMALG	functional	0.97	184	RAxML	-8.1424,6.2904	Classes	07_Dec_2018	nitrite reductase (NO-forming) / hydroxylamine reductase
#RecA	P0001	prot	PROTGAMMALG	taxonomic	0.80	1110	RAxML	-5.4758,6.3838	Classes	12_Dec_2018	
RecA	P0001	prot	PROTGAMMALG	taxonomic	0.85	1374	FastTree	-7.3638,7.0	Phyla	18_Feb_2019	Bacterial Recombinase A
RadA	P8423	prot	PROTGAMMALG	taxonomic	0.95	154	FastTree	-2.3638,7.0	Kingdoms	19_Feb_2019	
PF00380	P0380	prot	PROTGAMMALG	taxonomic	0.80	3241	FastTree	-8.4272,7.0	Phyla	23_Jan_2019	Ribosomal protein S9/S16
PF00750	P0750	prot	PROTGAMMALG	taxonomic	0.60	627	FastTree	-2.8117,7.0	Kingdoms	30_Jan_2019	tRNA synthetases class I (R)
PF00687	P0687	prot	PROTGAMMALG	taxonomic	0.75	690	FastTree	-3.1682,7.0	Kingdoms	01_Feb_2019	Ribosomal protein L1p/L10e family
PF01409	P1409	prot	PROTGAMMALG	taxonomic	0.75	1140	FastTree	-6.3136,7.0	Phyla	09_Feb_2019	tRNA synthetases class II core domain (F)
PF01200	P1200	prot	PROTGAMMALG	taxonomic	0.95	367	FastTree	-7.2734,7.0	Phyla	22_Jan_2019	Ribosomal protein S28e
PF04919	P4919	prot	PROTGAMMALG	taxonomic	0.90	507	FastTree	-5.0012,7.0	Phyla	26_Jan_2019	Protein of unknown function (DUF655)
PF01015	P1015	prot	PROTGAMMALG	taxonomic	0.80	346	FastTree	-4.4912,7.0	Phyla	27_Jan_2019	Ribosomal S3Ae family
PF01092	P1092	prot	PROTGAMMALG	taxonomic	0.80	370	FastTree	-4.6945,7.0	Phyla	27_Jan_2019	Ribosomal protein S6e
PF01280	P1280	prot	PROTGAMMALG	taxonomic	0.80	380	FastTree	-4.0583,7.0	Phyla	27_Jan_2019	Ribosomal protein L19e
PF01655	P1655	prot	PROTGAMMALG	taxonomic	0.80	356	FastTree	-5.1371,7.0	Phyla	27_Jan_2019	Ribosomal protein L32
PF00410	P0410	prot	PROTGAMMALG	taxonomic	0.75	1100	FastTree	-4.2215,7.0	Phyla	04_Feb_2019	Ribosomal protein S8
PF01866	P1866	prot	PROTGAMMALG	taxonomic	0.90	247	FastTree	-3.0031,7.0	Kingdoms	05_Feb_2019	Putative diphthamide synthesis protein
PF00900	P0900	prot	PROTGAMMALG	taxonomic	0.97	482	FastTree	-2.8073,7.0	Classes	14_Feb_2019	Ribosomal family S4e
PF01157	P1157	prot	PROTGAMMALG	taxonomic	0.95	437	FastTree	-2.5906,7.0	Phyla	15_Feb_2019	Ribosomal protein L21e
#McrA	M0701	prot	PROTGAMMALG	functional	0.97	211	FastTree	-4.08046639871,6.03601100802	Classes	04_Dec_2018	
#McrB	M0702	prot	PROTGAMMALG	functional	0.97	157	FastTree	-4.82025271473,6.52717228329	Classes	04_Dec_2018	
#McrG	M0705	prot	PROTGAMMALG	functional	0.97	155	FastTree	-5.23147387413,6.5926235222	Genera	04_Dec_2018	
#napA	D0201	prot	PROTGAMMALG	functional	0.90	332	FastTree	-7.03985324603,6.60314540283	Classes	04_Dec_2018	
#nifD	N0401	prot	PROTGAMMALG	functional	0.90	402	FastTree	-7.72039669919,6.16543737552	Orders	04_Dec_2018	
